"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Oct 26 03:03:54 GMT 2024","Sat Oct 26 03:04:02 GMT 2024","7974","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Simple Search","Search for Playwright docs."
"failed","Sat Oct 26 03:03:54 GMT 2024","Sat Oct 26 03:04:02 GMT 2024","8024","","","","","","Test Fail Example 1","Search for Bad Value 1."
"passed","Sat Oct 26 03:03:57 GMT 2024","Sat Oct 26 03:03:59 GMT 2024","1104","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Simple Search","Search for Playwright docs."
"passed","Sat Oct 26 03:04:02 GMT 2024","Sat Oct 26 03:04:05 GMT 2024","3645","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Simple Search","Search for Playwright docs."
"passed","Sat Oct 26 03:04:04 GMT 2024","Sat Oct 26 03:04:04 GMT 2024","795","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Add 1 TODO action","Simply add 1 TODO item."
"passed","Sat Oct 26 03:03:52 GMT 2024","Sat Oct 26 03:03:52 GMT 2024","178","playwright_pytest.api_tests","test_booking_api","TestBookingAPI","","","GET bookings","Simple GET bookings without params"
"failed","Sat Oct 26 03:03:54 GMT 2024","Sat Oct 26 03:04:01 GMT 2024","7437","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Fail Example 1","Search for Bad Value 1."
"passed","Sat Oct 26 03:03:54 GMT 2024","Sat Oct 26 03:03:55 GMT 2024","890","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Add 1 TODO action","Simply add 1 TODO item."
"passed","Sat Oct 26 03:04:05 GMT 2024","Sat Oct 26 03:04:07 GMT 2024","1951","","","","","","Test Fail Example 1","Search for Bad Value 1."
"passed","Sat Oct 26 03:04:02 GMT 2024","Sat Oct 26 03:04:07 GMT 2024","5834","","","","","","Test Fail Example 2","Search for Bad Value 2."
